"catchments" "value"
"362072" 361032
"362074" 361533
"362077" 361922
"362081" 361847
"362084" 362152
"362085" 362116
"362086" 361847
"362088" 361922
"362091" 362235
"362092" 361533
"362100" 361922
"362101" 361976
"362106" 361922
"362107" 361847
"362115" 362176
"362116" 362318
"362117" 362179
"362123" 362142
"362128" 360449
"362129" 361026
"362143" 361533
"362144" 361922
"362152" 362186
"362153" 362178
"362158" 362172
"362161" 361847
"362168" 360449
"362170" 362040
"362171" 362040
"362172" 362219
"362173" 362297
"362179" 362224
"362186" 362212
"362191" 360449
"362192" 362287
"362194" 362091
"362200" 362192
"362204" 361922
"362206" 361722
"362207" 361032
"362209" 362078
"362212" 362566
"362217" 361533
"362219" 362369
"362232" 361847
"362235" 362363
"362238" 362235
"362239" 362212
"362240" 362158
"362245" 362291
"362249" 361847
"362250" 361533
"362258" 361922
"362259" 362294
"362260" 361847
"362265" 361847
"362266" 362212
"362269" 362344
"362272" 362212
"362273" 361847
"362276" 362392
"362282" 362346
"362287" 362304
"362290" 361026
"362291" 362314
"362297" 362225
"362298" 360449
"362301" 361026
"362304" 362341
"362305" 362351
"362312" 362281
"362315" 362259
"362325" 362319
"362329" 362173
"362331" 361722
"362333" 362274
"362341" 362388
"362345" 362282
"362348" 362327
"362350" 362425
"362351" 362365
"362363" 362504
"362366" 362259
"362369" 362457
"362372" 361026
"362373" 362276
"362374" 362158
"362378" 362327
"362383" 362212
"362387" 362212
"362388" 362618
"362390" 362478
"362391" 362317
"362400" 361847
"362408" 362423
"362412" 361026
"362416" 362436
"362421" 362399
"362423" 362759
"362426" 362158
"362429" 361722
"362432" 362269
"362435" 362326
"362440" 362449
"362441" 361533
"362447" 362259
"362449" 362454
"362450" 362496
"362451" 360449
"362453" 361026
"362456" 362326
"362458" 362317
"362461" 362158
"362473" 361847
"362475" 361533
"362478" 362526
"362479" 361847
"362491" 362545
"362493" 362390
"362496" 362534
"362500" 362474
"362503" 362259
"362504" 362641
"362512" 362496
"362519" 362399
"362528" 362487
"362533" 362399
"362534" 362540
"362540" 362589
"362541" 361722
"362545" 362569
"362550" 362624
"362551" 361026
"362554" 361533
"362561" 362615
"362564" 362317
"362565" 361026
"362566" 362573
"362568" 362515
"362569" 362556
"362572" 362549
"362573" 362713
"362577" 360449
"362586" 362515
"362589" 362567
"362597" 362399
"362602" 362700
"362606" 362630
"362610" 362603
"362611" 362477
"362615" 362699
